"","borough","DOlocationID"
"1","EWR",1
"2","Queens",110
"3","Bronx",185
"4","Manhattan",196
"5","Staten Island",207
"6","Staten Island",217
"7","Queens",228
"8","Queens",239
"9","Queens",250
"10","Manhattan",155
"11","Queens",2
"12","Brooklyn",11
"13","Manhattan",22
"14","Manhattan",33
"15","Bronx",88
"16","Brooklyn",166
"17","Brooklyn",44
"18","Queens",55
"19","Brooklyn",133
"20","Staten Island",144
"21","Queens",66
"22","Brooklyn",77
"23","Queens",99
"24","Bronx",111
"25","Brooklyn",122
"26","Brooklyn",177
"27","Queens",182
"28","Queens",183
"29","Brooklyn",189
"30","Brooklyn",184
"31","Bronx",187
"32","Bronx",188
"33","Queens",186
"34","Brooklyn",190
"35","Brooklyn",191
"36","Brooklyn",192
"37","Brooklyn",193
"38","Queens",194
"39","Brooklyn",195
"40","Brooklyn",197
"41","Manhattan",198
"42","Manhattan",202
"43","Bronx",203
"44","Manhattan",199
"45","Manhattan",200
"46","Staten Island",201
"47","Bronx",204
"48","Manhattan",205
"49","Brooklyn",206
"50","Manhattan",208
"51","Bronx",209
"52","Brooklyn",210
"53","Queens",211
"54","Brooklyn",212
"55","Brooklyn",213
"56","Queens",214
"57","Queens",214
"58","Bronx",215
"59","Bronx",216
"60","Bronx",218
"61","Brooklyn",219
"62","Brooklyn",220
"63","Brooklyn",221
"64","Queens",222
"65","Brooklyn",223
"66","Brooklyn",231
"67","Brooklyn",224
"68","Brooklyn",225
"69","Manhattan",226
"70","Queens",232
"71","Bronx",227
"72","Queens",229
"73","Brooklyn",230
"74","Manhattan",238
"75","Brooklyn",240
"76","Manhattan",233
"77","Brooklyn",245
"78","Queens",246
"79","Manhattan",234
"80","Brooklyn",235
"81","Brooklyn",236
"82","Bronx",237
"83","Bronx",241
"84","Manhattan",247
"85","Queens",242
"86","Queens",243
"87","Staten Island",244
"88","Manhattan",248
"89","Brooklyn",249
"90","Manhattan",251
"91","Manhattan",28
"92","Brooklyn",252
"93","Queens",253
"94","Queens",254
"95","Bronx",255
"96","Queens",256
"97","Queens",257
"98","Brooklyn",258
"99","Queens",259
"100","Staten Island",260
"101","Manhattan",3
"102","Queens",4
"103","Queens",5
"104","Manhattan",6
"105","Manhattan",6
"106","Manhattan",6
"107","Brooklyn",7
"108","Manhattan",8
"109","Brooklyn",9
"110","Staten Island",10
"111","Staten Island",12
"112","Brooklyn",13
"113","Brooklyn",14
"114","Manhattan",15
"115","Manhattan",16
"116","Staten Island",17
"117","Manhattan",18
"118","Queens",19
"119","Staten Island",20
"120","Bronx",21
"121","Manhattan",23
"122","Brooklyn",54
"123","Brooklyn",56
"124","Queens",24
"125","Queens",25
"126","Brooklyn",26
"127","Queens",27
"128","Bronx",29
"129","Manhattan",30
"130","Manhattan",31
"131","Queens",32
"132","Queens",38
"133","Manhattan",57
"134","Queens",34
"135","Queens",43
"136","Queens",35
"137","Queens",36
"138","Brooklyn",37
"139","Manhattan",45
"140","Queens",39
"141","Bronx",40
"142","Manhattan",41
"143","Manhattan",46
"144","Manhattan",47
"145","Manhattan",58
"146","Queens",42
"147","Manhattan",48
"148","Manhattan",49
"149","Queens",50
"150","Queens",51
"151","Bronx",52
"152","Manhattan",53
"153","Manhattan",59
"154","Brooklyn",60
"155","Brooklyn",61
"156","Staten Island",62
"157","Bronx",65
"158","Queens",63
"159","Manhattan",64
"160","Queens",67
"161","Manhattan",68
"162","Manhattan",69
"163","Manhattan",70
"164","Manhattan",71
"165","Manhattan",78
"166","Brooklyn",72
"167","Manhattan",73
"168","Bronx",74
"169","Brooklyn",86
"170","Bronx",75
"171","Bronx",76
"172","Queens",79
"173","Staten Island",80
"174","Queens",81
"175","Bronx",82
"176","Queens",83
"177","Queens",87
"178","Staten Island",84
"179","Brooklyn",85
"180","Queens",89
"181","Brooklyn",90
"182","Bronx",91
"183","Bronx",92
"184","Bronx",93
"185","Bronx",94
"186","Manhattan",95
"187","Brooklyn",98
"188","Brooklyn",100
"189","Staten Island",96
"190","Brooklyn",97
"191","Queens",101
"192","Queens",102
"193","Queens",103
"194","Manhattan",104
"195","Queens",106
"196","Brooklyn",105
"197","Queens",115
"198","Queens",107
"199","Queens",108
"200","Bronx",109
"201","Bronx",125
"202","Bronx",126
"203","Bronx",112
"204","Staten Island",116
"205","Queens",113
"206","Manhattan",114
"207","Queens",117
"208","Staten Island",118
"209","Queens",119
"210","Bronx",120
"211","Manhattan",121
"212","Brooklyn",123
"213","Manhattan",124
"214","Staten Island",127
"215","Queens",128
"216","Queens",129
"217","Brooklyn",130
"218","Queens",131
"219","Queens",132
"220","Brooklyn",139
"221","Bronx",134
"222","Manhattan",138
"223","Queens",140
"224","Staten Island",135
"225","Brooklyn",136
"226","Queens",137
"227","Brooklyn",141
"228","Brooklyn",142
"229","Manhattan",143
"230","Manhattan",145
"231","Manhattan",146
"232","Manhattan",154
"233","Manhattan",147
"234","Manhattan",148
"235","Manhattan",149
"236","Bronx",150
"237","Manhattan",151
"238","Manhattan",152
"239","Manhattan",153
"240","Bronx",156
"241","Bronx",157
"242","Queens",175
"243","Bronx",158
"244","Staten Island",161
"245","Manhattan",181
"246","Manhattan",159
"247","Manhattan",160
"248","Queens",170
"249","Manhattan",162
"250","Bronx",163
"251","Bronx",164
"252","Manhattan",165
"253","Brooklyn",174
"254","Bronx",167
"255","Staten Island",168
"256","Queens",169
"257","Bronx",171
"258","Brooklyn",172
"259","Brooklyn",173
"260","Bronx",176
"261","Queens",178
"262","Manhattan",179
"263","Manhattan",180
