"","hour","type","d.med"
"1",0,"Lyft",18.6421637297861
"2",0,"Uber",17.9663134242547
"3",0,"Via",19.4880156880869
"4",1,"Lyft",17.6854522658097
"5",1,"Uber",16.995808734432
"6",1,"Via",18.2986025963731
"7",2,"Lyft",17.0994055500371
"8",2,"Uber",16.4664423506528
"9",2,"Via",17.8055151026484
"10",3,"Lyft",17.4688768047852
"11",3,"Uber",16.6381023851981
"12",3,"Via",17.9514860621075
"13",4,"Lyft",18.6857256503836
"14",4,"Uber",17.6605910175982
"15",4,"Via",18.3644452460396
"16",5,"Lyft",20.5349646863199
"17",5,"Uber",19.1185494483877
"18",5,"Via",17.3783180432787
"19",6,"Lyft",22.5678067335338
"20",6,"Uber",20.1472741382814
"21",6,"Via",17.3171253690242
"22",7,"Lyft",22.7787374618812
"23",7,"Uber",20.5589508343063
"24",7,"Via",19.8598083422778
"25",8,"Lyft",22.3508031413198
"26",8,"Uber",20.6617439204727
"27",8,"Via",23.0365241227686
"28",9,"Lyft",21.5331126488839
"29",9,"Uber",20.1503600697612
"30",9,"Via",22.401589304254
"31",10,"Lyft",21.1320277725968
"32",10,"Uber",19.9791475549003
"33",10,"Via",20.7187381565347
"34",11,"Lyft",21.3648068682978
"35",11,"Uber",20.3468391648939
"36",11,"Via",20.932116188732
"37",12,"Lyft",21.8598742791165
"38",12,"Uber",20.6916673765063
"39",12,"Via",21.0247555930317
"40",13,"Lyft",22.5519707160309
"41",13,"Uber",21.2712857474801
"42",13,"Via",21.082072806832
"43",14,"Lyft",24.200572642325
"44",14,"Uber",22.7520903656547
"45",14,"Via",22.0283966339742
"46",15,"Lyft",25.3641424482779
"47",15,"Uber",23.745718061569
"48",15,"Via",22.9364808456077
"49",16,"Lyft",25.3223051437029
"50",16,"Uber",23.8435491267691
"51",16,"Via",22.8177478353475
"52",17,"Lyft",23.9319812255382
"53",17,"Uber",22.7382527810933
"54",17,"Via",23.0152498919246
"55",18,"Lyft",21.7525343681867
"56",18,"Uber",20.8430045472027
"57",18,"Via",21.8740022173374
"58",19,"Lyft",19.9388697835914
"59",19,"Uber",19.3845787210206
"60",19,"Via",19.9231957862083
"61",20,"Lyft",19.4428683616233
"62",20,"Uber",19.0247270509714
"63",20,"Via",18.8995859726345
"64",21,"Lyft",19.5491443398401
"65",21,"Uber",19.031278671656
"66",21,"Via",19.0486330111368
"67",22,"Lyft",19.5553252074344
"68",22,"Uber",19.0543128207763
"69",22,"Via",19.5956782804696
"70",23,"Lyft",19.3424351208071
"71",23,"Uber",18.8246380822026
"72",23,"Via",20.062878169066
