"","month","type","d.med"
"1","Apr","Lyft",17.1
"2","Apr","Uber",16.4333333333333
"3","Apr","Via",18.6666666666667
"4","Feb","Lyft",16.5
"5","Feb","Uber",15.8166666666667
"6","Feb","Via",18.0333333333333
"7","Jan","Lyft",16.2166666666667
"8","Jan","Uber",15.65
"9","Jan","Via",17.65
"10","Jun","Lyft",17.9666666666667
"11","Jun","Uber",16.6833333333333
"12","Jun","Via",18.9166666666667
"13","Mar","Lyft",16.6833333333333
"14","Mar","Uber",16.0666666666667
"15","Mar","Via",18.05
"16","May","Lyft",17.8166666666667
"17","May","Uber",16.8166666666667
"18","May","Via",19.3833333333333
"19","Aug","Lyft",17.3333333333333
"20","Aug","Uber",16.9833333333333
"21","Aug","Via",18.3666666666667
"22","Dec","Lyft",17
"23","Dec","Uber",17
"24","Jul","Lyft",17.6166666666667
"25","Jul","Uber",16.3666666666667
"26","Jul","Via",18.3333333333333
"27","Nov","Lyft",17.4833333333333
"28","Nov","Uber",17.1166666666667
"29","Nov","Via",19.55
"30","Oct","Lyft",18.3166666666667
"31","Oct","Uber",17.65
"32","Oct","Via",19.5666666666667
"33","Sep","Lyft",17.8
"34","Sep","Uber",17.5666666666667
"35","Sep","Via",19.8333333333333
